Sample_Name,MYH11,PRMT1,TENT4A
TCGA-EJ-7781-nonMT,16.425486,10.39456214,8.870025006
DTB-083-MT,12.04352229,8.612377672,10.31208222
TCGA-KK-A7B1-nonMT,16.35163783,11.55593554,9.015171788
TCGA-EJ-A46F-nonMT,12.10629686,12.44179342,9.027366233
TCGA-CH-5745-nonMT,16.0078846,11.10911678,8.955317584
TCGA-EJ-5515-nonMT,17.39496484,10.42643764,8.840265551
TCGA-CH-5769-nonMT,15.72714029,11.66911651,8.747079335
TCGA-EJ-5501-nonMT,16.08272121,11.29507411,8.939584802
DTB-069-MT,10.23558131,9.645506961,11.09213474
TCGA-HC-7212-nonMT,13.85346739,10.98164019,8.964668219
TCGA-VP-A87H-nonMT,15.08353516,11.15314376,9.518004563
DTB-124-MT,8.302722054,9.043500118,10.82392071
TCGA-J4-AATZ-nonMT,13.83577324,11.17116768,9.191758815
TCGA-J4-A67S-nonMT,15.00291093,11.92183081,9.129029421
TCGA-G9-6363-nonMT,15.02600884,10.97423503,8.135317185
TCGA-CH-5762-nonMT,16.97944549,10.66900357,9.234318484
TCGA-G9-6347-nonMT,17.87821363,12.11236866,9.312435635
TCGA-ZG-A9LN-nonMT,16.67871182,10.79558511,9.239600223
TCGA-KC-A4BR-nonMT,18.10714955,11.57761537,9.658719737
TCGA-CH-5789-nonMT,16.94611334,10.6248385,9.039247426
TCGA-HI-7170-nonMT,17.37079782,11.58749136,8.667290809
TCGA-V1-A9O5-MT,9.227064622,13.25593478,10.6327758
TCGA-EJ-5506-nonMT,16.10527218,10.67173306,8.811520249
DTB-143-MT,9.567597693,9.673330984,10.14205964
TCGA-ZG-A9ND-nonMT,13.05383108,11.00248077,9.196094499
TCGA-V1-A9ZK-nonMT,16.41666261,10.8438782,8.978415823
TCGA-G9-6336-nonMT,16.21368661,11.45390715,8.362359162
TCGA-FC-7708-nonMT,16.58956481,10.8781791,9.111273261
TCGA-KK-A6E3-nonMT,16.0650654,12.04910474,8.447078765
TCGA-HC-8265-nonMT,14.49363004,9.007343285,9.748159063
TCGA-EJ-5499-nonMT,15.46881853,10.9515263,8.506886251
TCGA-G9-7522-nonMT,16.86588165,11.25645858,8.707753237
TCGA-VN-A88Q-nonMT,14.7915546,11.589893,9.372799589
TCGA-XK-AAJA-nonMT,13.61307388,11.03731422,9.550975624
TCGA-EJ-8474-nonMT,16.24054692,10.83832175,8.936709008
